AGE,AMT1
46,6400
31,15000
61,62300
38,101800
55,101800
40,106400
40,-101800
40,101800
60,13100
37,29000
48,10000
48,6400
69,92300
75,14400
52,8500
43,24000
53,11000
52,6400
28,94400
33,8500
10,13100
39,78400
57,78900
46,64800
46,-71800
46,71800
32,101800
52,91800
40,101800
29,38900
29,342100
42,9500
57,932700
46,5600
2,21500
19,22900
19,456400
45,19900
41,488800
52,16600
4,14600
57,12500
56,20100
38,101800
40,101800
32,101800
47,106400
44,101800
55,101800
50,1900
50,101800
30,101800
49,101800
46,105200
45,23300
49,31600
41,6400
38,20100
38,20000
39,6400
41,155810
47,19000
75,14100
66,11200
44,26300
48,6400
20,488500
1,7800
52,91800
37,101800
55,104800
38,101800
42,101800
39,6400
53,101800
53,-104500
53,104500
81,22190
41,10400
55,6400
53,64000
5,47200
44,101800
55,101800
47,102800
47,101800
49,105200
45,105200
45,6000
52,91800
37,101800
66,135800
47,78900
65,127900
41,10400
43,149400
43,319100
11,44100
56,6400
40,6400
43,8500
14,6400
49,20000
49,12200
49,3000
44,6400
59,61900
48,6400
59,6400
49,71800
63,-1100
63,102900
63,43700
28,106400
47,27100
51,91800
51,75400
34,6400
55,19800
7,69460
9,12700
52,6400
5,4600
44,65800
54,106400
51,6400
33,78900
8,6400
7,6400
49,100400
32,109700
49,79100
76,6400
32,75000
32,1100
24,56400
36,39900
2,9800
65,6400
51,8500
2,7700
55,24200
31,25700
52,6400
72,19300
65,21900
65,6400
34,41700
28,76400
44,78900
35,6400
86,12000
31,21900
52,21900
35,22900
35,33800
27,37500
27,6400
56,6400
17,21000
36,6400
56,306400
56,-306400
56,306400
1,48700
68,24400
23,3000
31,256400
45,23300
40,6400
59,143300
81,14800
74,115600
74,-100000
74,100000
58,74300
64,6400
36,8000
46,70100
43,12300
43,12300
43,16400
66,135800
55,78900
58,6400
1,4600
32,101800
54,62100
44,6400
43,101800
57,78900
57,78900
57,101800
43,6400
47,81600
66,110700
62,456400
65,39110
48,109100
44,80000
48,6400
64,78900
51,37500
38,2700
38,18500
36,6400
38,127900
58,47700
32,109900
59,91000
72,31400
72,13500
32,6400
28,8500
27,94600
31,20100
59,163800
61,98300
61,22800
44,100100
61,20100
62,6400
16,6400
62,47500
38,98800
5,36700
37,74300
54,26300
52,28700
40,8500
54,173200
28,8500
57,271700
65,70100
62,6400
3,40200
66,10000
48,20100
44,21700
62,6400
68,65800
55,6400
12,25300
7,7760
46,10300
1,9100
4,4600
46,76400
59,6400
48,7400
65,6400
55,313800
55,-313800
69,126600
47,14300
48,3000
48,29400
75,32400
56,6400
34,9100
49,71800
19,34000
19,6400
37,9100
39,76400
30,79100
41,3400
41,6400
44,6400
41,96400
51,6400
17,18000
69,71800
13,22900
39,6400
42,23600
45,6400
1,17900
36,57000
46,108500
54,471900
56,22000
53,40100
35,106400
38,12600
49,6400
76,109900
30,9100
61,12600
49,106400
42,9800
42,7300
41,106400
44,8500
