¿œ¿⁄,ºÆ≈∫
2017-08-26,112422
2017-08-27,104725
2017-08-28,119438
2017-08-29,121259
2017-08-30,117462
2017-08-31,115140
2017-09-01,115150
2017-09-02,94200
2017-09-03,87903
2017-09-04,105780
2017-09-05,116473
2017-09-06,114746
2017-09-07,115137
2017-09-08,113997
2017-09-09,108489
2017-09-10,89777
2017-09-11,103707
2017-09-12,113200
2017-09-13,111761
2017-09-14,111958
2017-09-15,110895
2017-09-16,102832
2017-09-17,83100
2017-09-18,101348
2017-09-19,110479
2017-09-20,110645
2017-09-21,109625
2017-09-22,109797
2017-09-23,92680
2017-09-24,85235
2017-09-25,103489
2017-09-26,113776
2017-09-27,116214
2017-09-28,115323
2017-09-29,100092
2017-09-30,94083
2017-10-01,93190
2017-10-02,93796
2017-10-03,83361
2017-10-04,69231
2017-10-05,74803
2017-10-06,83606
2017-10-07,86054
2017-10-08,89081
2017-10-09,93724
2017-10-10,99647
2017-10-11,102553
2017-10-12,100810
2017-10-13,100699
2017-10-14,96287
2017-10-15,91893
2017-10-16,98717
2017-10-17,103318
2017-10-18,103980
2017-10-19,102721
2017-10-20,102071
2017-10-21,96749
2017-10-22,91006
2017-10-23,96930
2017-10-24,101066
2017-10-25,103214
2017-10-26,104532
2017-10-27,102612
2017-10-28,92557
2017-10-29,86240
2017-10-30,97637
2017-10-31,103408
2017-11-01,104207
2017-11-02,104558
2017-11-03,104044
2017-11-04,99904
2017-11-05,92360
2017-11-06,100759
2017-11-07,104232
2017-11-08,102803
2017-11-09,104011
2017-11-10,104320
2017-11-11,101226
2017-11-12,93681
2017-11-13,104442
2017-11-14,109293
2017-11-15,109298
2017-11-16,111109
2017-11-17,110465
2017-11-18,105727
2017-11-19,99249
2017-11-20,109598
2017-11-21,113752
2017-11-22,113970
2017-11-23,113301
2017-11-24,114938
2017-11-25,108355
2017-11-26,99859
2017-11-27,112955
2017-11-28,113859
2017-11-29,112786
2017-11-30,114529
2017-12-01,113995
2017-12-02,106502
2017-12-03,98614
2017-12-04,111562
2017-12-05,115146
2017-12-06,106260
2017-12-07,108749
2017-12-08,113540
2017-12-09,109949
2017-12-10,103340
2017-12-11,123577
2017-12-12,126483
2017-12-13,124367
2017-12-14,129433
2017-12-15,130380
2017-12-16,124222
2017-12-17,117399
2017-12-18,122267
2017-12-19,129197
2017-12-20,130487
2017-12-21,130654
2017-12-22,128895
2017-12-23,120502
2017-12-24,114400
2017-12-25,116423
2017-12-26,126375
2017-12-27,127221
2017-12-28,129733
2017-12-29,128512
2017-12-30,119013
2017-12-31,112788
2018-01-01,102203
2018-01-02,118181
2018-01-03,128784
2018-01-04,128942
2018-01-05,128655
2018-01-06,123513
2018-01-07,116837
2018-01-08,124688
2018-01-09,129180
2018-01-10,130408
2018-01-11,130670
2018-01-12,131670
2018-01-13,125193
2018-01-14,118055
2018-01-15,125023
2018-01-16,127918
2018-01-17,128562
2018-01-18,127947
2018-01-19,125014
2018-01-20,120701
2018-01-21,113174
2018-01-22,125224
2018-01-23,131328
2018-01-24,130712
2018-01-25,129554
2018-01-26,132065
2018-01-27,128790
2018-01-28,120248
2018-01-29,127938
2018-01-30,130837
2018-01-31,131617
2018-02-01,132102
2018-02-02,130613
2018-02-03,127466
2018-02-04,120144
2018-02-05,131833
2018-02-06,134963
2018-02-07,135254
2018-02-08,133707
2018-02-09,132599
2018-02-10,125706
2018-02-11,120173
2018-02-12,130572
2018-02-13,133261
2018-02-14,127000
2018-02-15,100322
2018-02-16,90287
2018-02-17,92150
2018-02-18,107694
2018-02-19,119709
2018-02-20,122957
2018-02-21,125203
2018-02-22,126154
2018-02-23,127824
2018-02-24,117824
2018-02-25,112152
2018-02-26,117847
2018-02-27,120696
2018-02-28,122502
2018-03-01,118583
2018-03-02,121961
2018-03-03,114800
2018-03-04,106100
2018-03-05,108078
2018-03-06,106934
2018-03-07,108115
2018-03-08,108738
2018-03-09,95700
2018-03-10,85634
2018-03-11,85650
2018-03-12,99341
2018-03-13,109391
2018-03-14,112263
2018-03-15,111175
2018-03-16,107830
2018-03-17,103788
2018-03-18,101445
2018-03-19,107962
2018-03-20,113556
2018-03-21,112623
2018-03-22,113016
2018-03-23,113376
2018-03-24,106954
2018-03-25,102136
2018-03-26,109567
2018-03-27,111612
2018-03-28,109308
2018-03-29,110563
2018-03-30,109889
2018-03-31,106575
2018-04-01,100061
2018-04-02,102251
2018-04-03,111328
2018-04-04,103231
2018-04-05,105710
2018-04-06,108363
2018-04-07,102175
2018-04-08,101224
2018-04-09,109997
2018-04-10,111621
2018-04-11,111706
2018-04-12,112374
2018-04-13,112108
2018-04-14,107423
2018-04-15,102608
2018-04-16,96559
2018-04-17,98847
2018-04-18,99436
2018-04-19,98315
2018-04-20,98586
2018-04-21,91916
2018-04-22,89549
2018-04-23,97508
2018-04-24,100806
2018-04-25,100527
2018-04-26,99192
2018-04-27,99692
2018-04-28,93618
2018-04-29,88688
2018-04-30,95604
2018-05-01,91778
2018-05-02,98717
2018-05-03,100206
2018-05-04,99676
2018-05-05,92544
2018-05-06,90576
2018-05-07,93570
2018-05-08,96947
2018-05-09,98084
2018-05-10,87190
2018-05-11,85847
2018-05-12,82616
2018-05-13,75954
2018-05-14,84623
2018-05-15,88800
2018-05-16,89502
2018-05-17,91966
2018-05-18,90860
2018-05-19,83851
2018-05-20,74697
2018-05-21,80952
2018-05-22,83326
2018-05-23,86127
2018-05-24,99061
2018-05-25,98680
2018-05-26,94353
2018-05-27,87325
2018-05-28,88687
2018-05-29,91090
2018-05-30,94706
2018-05-31,100251
2018-06-01,99820
2018-06-02,91426
2018-06-03,90161
2018-06-04,95133
2018-06-05,100864
2018-06-06,98607
2018-06-07,97492
2018-06-08,101758
2018-06-09,100487
2018-06-10,95806
2018-06-11,102282
2018-06-12,95268
2018-06-13,93801
2018-06-14,97714
2018-06-15,94341
2018-06-16,92499
2018-06-17,93429
2018-06-18,103323
2018-06-19,108830
2018-06-20,110438
2018-06-21,110869
2018-06-22,113714
2018-06-23,108322
2018-06-24,108761
2018-06-25,111506
2018-06-26,114130
2018-06-27,112527
2018-06-28,112405
2018-06-29,111902
2018-06-30,112495
2018-07-01,107198
2018-07-02,116405
2018-07-03,119376
2018-07-04,119490
2018-07-05,119596
2018-07-06,118960
2018-07-07,104405
2018-07-08,96056
2018-07-09,111981
2018-07-10,120863
2018-07-11,121841
2018-07-12,123369
2018-07-13,126477
2018-07-14,121297
2018-07-15,114051
2018-07-16,123234
2018-07-17,126830
2018-07-18,124805
2018-07-19,124483
2018-07-20,125547
2018-07-21,121535
2018-07-22,119218
2018-07-23,124113
2018-07-24,127912
2018-07-25,128137
2018-07-26,127123
2018-07-27,128090
2018-07-28,117840
2018-07-29,114357
2018-07-30,121870
2018-07-31,124292
2018-08-01,130649
2018-08-02,128118
2018-08-03,129257
2018-08-04,126683
2018-08-05,119131
2018-08-06,128187
2018-08-07,135311
2018-08-08,134807
2018-08-09,134431
2018-08-10,135113
2018-08-11,130466
2018-08-12,124794
2018-08-13,131158
2018-08-14,135684
2018-08-15,133580
2018-08-16,133312
2018-08-17,132763
2018-08-18,124961
2018-08-19,117929
2018-08-20,127884
2018-08-21,131238
2018-08-22,133083
2018-08-23,132803
2018-08-24,130576
2018-08-25,125871
2018-08-26,119530
2018-08-27,128324
2018-08-28,130441
2018-08-29,130521
2018-08-30,131545
2018-08-31,129055
2018-09-01,118537
2018-09-02,109506
2018-09-03,118786
2018-09-04,122765
2018-09-05,121463
2018-09-06,120474
2018-09-07,123358
2018-09-08,105699
2018-09-09,105131
2018-09-10,115896
2018-09-11,120095
2018-09-12,122793
2018-09-13,118931
2018-09-14,118504
2018-09-15,114785
2018-09-16,111034
2018-09-17,117221
2018-09-18,119311
2018-09-19,118935
2018-09-20,119118
2018-09-21,117714
2018-09-22,98922
2018-09-23,82240
2018-09-24,76187
2018-09-25,82176
2018-09-26,87548
2018-09-27,100428
2018-09-28,101586
2018-09-29,104731
2018-09-30,97283
2018-10-01,103820
2018-10-02,108822
2018-10-03,109402
2018-10-04,109409
2018-10-05,110148
2018-10-06,107924
2018-10-07,103333
2018-10-08,105716
2018-10-09,90877
2018-10-10,90826
2018-10-11,90791
2018-10-12,90780
2018-10-13,90676
2018-10-14,90434
2018-10-15,90438
2018-10-16,97457
2018-10-17,101567
2018-10-18,101976
2018-10-19,102956
2018-10-20,102514
